City,Population,Users
NEW YORK NY,8405837.00,302149.00
CHICAGO IL,1955130.00,164468.00
LOS ANGELES CA,1595037.00,144132.00
MIAMI FL,1339155.00,17675.00
SILICON VALLEY,1177609.00,27247.00
ORANGE COUNTY,1030185.00,12994.00
SAN DIEGO CA,959307.00,69995.00
PHOENIX AZ,943999.00,6133.00
DALLAS TX,942908.00,22157.00
ATLANTA GA,814885.00,24701.00
DENVER CO,754233.00,12421.00
AUSTIN TX,698371.00,14978.00
SEATTLE WA,671238.00,25063.00
TUCSON AZ,631442.00,5712.00
SAN FRANCISCO CA,629591.00,213609.00
SACRAMENTO CA,545776.00,7044.00
PITTSBURGH PA,542085.00,3643.00
WASHINGTON DC,418859.00,127001.00
NASHVILLE TN,327225.00,9270.00
BOSTON MA,248968.00,80021.00
